52 Dundas First Solution,,,,,,,,,,,,,
https://platform.remix.com/map/2f3edbe2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Within,400.00,meters of stops,,,,,,,,,,,
,,,,,,,,,,,,,
,population,population 2016,population 2011,occupied dwellings,employed (15+),transit to work,low-income (LICO-AT),minority,seniors (65+),adults (20-64),youth (18-),hospitals,medical centres
SYSTEM STATS,"8,312","5,865","5,978","2,543","3,448",6%,7%,5%,31%,52%,16%,,
52A-Dundas First Solution,"8,312","5,865","5,978","2,543","3,448",6%,7%,5%,31%,52%,16%,,
